Time,HEATSYS1:CORE_BOTTOM VAV BOX REHEAT COIL:Design Water Volume Flow Rate [m3/s],HEATSYS1:CORE_MID VAV BOX REHEAT COIL:Design Water Volume Flow Rate [m3/s],HEATSYS1:CORE_TOP VAV BOX REHEAT COIL:Design Water Volume Flow Rate [m3/s],HEATSYS1:PERIMETER_BOT_ZN_3 VAV BOX REHEAT COIL:Design Water Volume Flow Rate [m3/s],HEATSYS1:PERIMETER_BOT_ZN_2 VAV BOX REHEAT COIL:Design Water Volume Flow Rate [m3/s],HEATSYS1:PERIMETER_BOT_ZN_1 VAV BOX REHEAT COIL:Design Water Volume Flow Rate [m3/s],HEATSYS1:PERIMETER_BOT_ZN_4 VAV BOX REHEAT COIL:Design Water Volume Flow Rate [m3/s],HEATSYS1:PERIMETER_MID_ZN_3 VAV BOX REHEAT COIL:Design Water Volume Flow Rate [m3/s],HEATSYS1:PERIMETER_MID_ZN_2 VAV BOX REHEAT COIL:Design Water Volume Flow Rate [m3/s],HEATSYS1:PERIMETER_MID_ZN_1 VAV BOX REHEAT COIL:Design Water Volume Flow Rate [m3/s],HEATSYS1:PERIMETER_MID_ZN_4 VAV BOX REHEAT COIL:Design Water Volume Flow Rate [m3/s],HEATSYS1:PERIMETER_TOP_ZN_3 VAV BOX REHEAT COIL:Design Water Volume Flow Rate [m3/s],HEATSYS1:PERIMETER_TOP_ZN_2 VAV BOX REHEAT COIL:Design Water Volume Flow Rate [m3/s],HEATSYS1:PERIMETER_TOP_ZN_1 VAV BOX REHEAT COIL:Design Water Volume Flow Rate [m3/s],HEATSYS1:PERIMETER_TOP_ZN_4 VAV BOX REHEAT COIL:Design Water Volume Flow Rate [m3/s],HEATSYS1:VAV_BOT WITH REHEAT HEATING COIL:Design Water Volume Flow Rate [m3/s],HEATSYS1:VAV_MID WITH REHEAT HEATING COIL:Design Water Volume Flow Rate [m3/s],HEATSYS1:VAV_TOP WITH REHEAT HEATING COIL:Design Water Volume Flow Rate [m3/s],HEATSYS1:CAV_BAS HEATING COIL:Design Water Volume Flow Rate [m3/s]
00:10:00,2.555949E-04,4.441774E-03,3.452531E-04,6.316466E-05,4.257957E-05,5.429762E-05,7.426599E-05,4.231130E-04,2.980970E-04,4.230714E-04,3.227623E-04,4.086062E-05,2.789203E-05,4.082751E-05,3.005784E-05,1.509287E-04,4.353229E-04,2.636203E-05,2.138127E-03
00:20:00,2.555949E-04,4.441774E-03,3.452531E-04,6.316466E-05,4.257957E-05,5.429762E-05,7.426599E-05,4.231130E-04,2.980970E-04,4.230714E-04,3.227623E-04,4.086062E-05,2.789203E-05,4.082751E-05,3.005784E-05,1.509287E-04,4.353229E-04,2.636203E-05,2.138127E-03
00:30:00,2.555949E-04,4.441774E-03,3.452531E-04,6.316466E-05,4.257957E-05,5.429762E-05,7.426599E-05,4.231130E-04,2.980970E-04,4.230714E-04,3.227623E-04,4.086062E-05,2.789203E-05,4.082751E-05,3.005784E-05,1.509287E-04,4.353229E-04,2.636203E-05,2.138127E-03
00:40:00,2.555949E-04,4.441774E-03,3.452531E-04,6.316466E-05,4.257957E-05,5.429762E-05,7.426599E-05,4.231130E-04,2.980970E-04,4.230714E-04,3.227623E-04,4.086062E-05,2.789203E-05,4.082751E-05,3.005784E-05,1.509287E-04,4.353229E-04,2.636203E-05,2.138127E-03
00:50:00,2.555949E-04,4.441774E-03,3.452531E-04,6.316466E-05,4.257957E-05,5.429762E-05,7.426599E-05,4.231130E-04,2.980970E-04,4.230714E-04,3.227623E-04,4.086062E-05,2.789203E-05,4.082751E-05,3.005784E-05,1.509287E-04,4.353229E-04,2.636203E-05,2.138127E-03
01:00:00,2.555949E-04,4.441774E-03,3.452531E-04,6.316466E-05,4.257957E-05,5.429762E-05,7.426599E-05,4.231130E-04,2.980970E-04,4.230714E-04,3.227623E-04,4.086062E-05,2.789203E-05,4.082751E-05,3.005784E-05,1.509287E-04,4.353229E-04,2.636203E-05,2.138127E-03
01:10:00,2.555949E-04,4.441774E-03,3.452531E-04,6.316466E-05,4.257957E-05,5.429762E-05,7.426599E-05,4.231130E-04,2.980970E-04,4.230714E-04,3.227623E-04,4.086062E-05,2.789203E-05,4.082751E-05,3.005784E-05,1.509287E-04,4.353229E-04,2.636203E-05,2.138127E-03
01:20:00,2.555949E-04,4.441774E-03,3.452531E-04,6.316466E-05,4.257957E-05,5.429762E-05,7.426599E-05,4.231130E-04,2.980970E-04,4.230714E-04,3.227623E-04,4.086062E-05,2.789203E-05,4.082751E-05,3.005784E-05,1.509287E-04,4.353229E-04,2.636203E-05,2.138127E-03
01:30:00,2.555949E-04,4.441774E-03,3.452531E-04,6.316466E-05,4.257957E-05,5.429762E-05,7.426599E-05,4.231130E-04,2.980970E-04,4.230714E-04,3.227623E-04,4.086062E-05,2.789203E-05,4.082751E-05,3.005784E-05,1.509287E-04,4.353229E-04,2.636203E-05,2.138127E-03
01:40:00,2.555949E-04,4.441774E-03,3.452531E-04,6.316466E-05,4.257957E-05,5.429762E-05,7.426599E-05,4.231130E-04,2.980970E-04,4.230714E-04,3.227623E-04,4.086062E-05,2.789203E-05,4.082751E-05,3.005784E-05,1.509287E-04,4.353229E-04,2.636203E-05,2.138127E-03
