Date/Time,Whole Building:Facility Total Electricity Demand Rate [W](Hourly),Electricity:Facility [J](Hourly) 
 01/01  01:00:00,366222.90400276595,1318402454.4099574 
 01/01  02:00:00,369527.5403458591,1330299145.2450929 
 01/01  03:00:00,367184.89337667654,1321865616.1560354 
 01/01  04:00:00,364727.4911464105,1313018968.1270776 
 01/01  05:00:00,364199.9424249206,1311119792.729714 
 01/01  06:00:00,384128.9223783947,1382864120.5622206 
 01/01  07:00:00,484127.9660744644,1742860677.868072 
 01/01  08:00:00,467429.7327589959,1682747037.9323857 
 01/01  09:00:00,464584.62940556527,1672504665.860035 
 01/01  10:00:00,428581.3144774078,1542892732.1186676 
 01/01  11:00:00,416988.390969532,1501158207.4903147 
 01/01  12:00:00,476302.65336740593,1714689552.1226606 
 01/01  13:00:00,504223.17620859575,1815203434.3509448 
 01/01  14:00:00,505649.7149544936,1820338973.8361773 
 01/01  15:00:00,517606.6420352026,1863383911.3267293 
 01/01  16:00:00,505392.9194151309,1819414509.8944712 
 01/01  17:00:00,560790.6649445083,2018846393.80023 
 01/01  18:00:00,571869.5717504153,2058730458.301495 
 01/01  19:00:00,524546.3307754683,1888366790.791686 
 01/01  20:00:00,482464.2566727209,1736871324.0217953 
 01/01  21:00:00,473138.807252265,1703299706.1081538 
 01/01  22:00:00,438086.1139604061,1577110010.257462 
 01/01  23:00:00,406694.2150439708,1464099174.1582947 
 01/01  24:00:00,382347.89705551154,1376452429.3998413 
 01/02  01:00:00,390917.59911202063,1407303356.8032744 
 01/02  02:00:00,396287.6669023716,1426635600.8485377 
 01/02  03:00:00,394432.62827825866,1419957461.8017309 
 01/02  04:00:00,393741.0039708035,1417467614.2948925 
 01/02  05:00:00,395196.6443604026,1422707919.6974497 
 01/02  06:00:00,436512.9049217663,1571446457.718358 
 01/02  07:00:00,590123.0033162091,2124442811.9383528 
 01/02  08:00:00,630369.0681511437,2269328645.344117 
 01/02  09:00:00,949207.9129922901,3417148486.7722454 
 01/02  10:00:00,938793.4673867306,3379656482.5922303 
 01/02  11:00:00,940709.8915192444,3386555609.4692802 
 01/02  12:00:00,981778.907302334,3534404066.2884035 
 01/02  13:00:00,934810.3424930843,3365317232.975105 
 01/02  14:00:00,1014932.2047373251,3653755937.054371 
 01/02  15:00:00,1036386.9365990963,3730992971.7567472 
 01/02  16:00:00,1053160.8906495592,3791379206.338414 
 01/02  17:00:00,1115888.0258704673,4017196893.133682 
 01/02  18:00:00,835563.9554556734,3008030239.6404243 
 01/02  19:00:00,753264.1493815597,2711750937.7736154 
 01/02  20:00:00,713025.2279357398,2566890820.568663 
 01/02  21:00:00,669136.0570456219,2408889805.364239 
 01/02  22:00:00,628322.1386084676,2261959698.9904838 
 01/02  23:00:00,478403.00980959577,1722250835.3145452 
 01/02  24:00:00,439335.9396080538,1581609382.5889938 
 01/03  01:00:00,391296.50563211116,1408667420.2756002 
 01/03  02:00:00,388163.79665010935,1397389667.9403937 
 01/03  03:00:00,386228.3995055155,1390422238.2198555 
 01/03  04:00:00,383623.5688280072,1381044847.7808259 
 01/03  05:00:00,382824.7548374858,1378169117.4149487 
 01/03  06:00:00,429482.1714469972,1546135817.20919 
 01/03  07:00:00,588417.1831367674,2118301859.292363 
 01/03  08:00:00,620169.044391701,2232608559.8101234 
 01/03  09:00:00,944752.7208693345,3401109795.1296053 
 01/03  10:00:00,943785.1787022348,3397626643.328045 
 01/03  11:00:00,944957.5480708691,3401847173.0551295 
 01/03  12:00:00,997662.8857352975,3591586388.647072 
 01/03  13:00:00,931438.3236597603,3353177965.175138 
 01/03  14:00:00,998082.054957613,3593095397.8474073 
 01/03  15:00:00,1018334.8403877214,3666005425.3957977 
 01/03  16:00:00,1041190.5169425756,3748285860.993273 
 01/03  17:00:00,1087264.1835980385,3914151060.952938 
 01/03  18:00:00,828141.7430999079,2981310275.1596684 
 01/03  19:00:00,744302.734596117,2679489844.5460224 
 01/03  20:00:00,676916.2088536929,2436898351.8732944 
 01/03  21:00:00,634347.2233337458,2283650004.001486 
 01/03  22:00:00,602895.1000819686,2170422360.295087 
 01/03  23:00:00,466501.76950973313,1679406370.235039 
 01/03  24:00:00,433273.7122950684,1559785364.2622466 
 01/04  01:00:00,385087.5151250756,1386315054.4502716 
 01/04  02:00:00,382979.5899996601,1378726523.998776 
 01/04  03:00:00,382927.86350784,1378540308.628224 
 01/04  04:00:00,382603.18340871454,1377371460.271372 
 01/04  05:00:00,382192.27961656795,1375892206.6196444 
 01/04  06:00:00,423239.43823549204,1523661977.6477711 
 01/04  07:00:00,587326.5251859348,2114375490.6693656 
 01/04  08:00:00,618763.4297324247,2227548347.036729 
 01/04  09:00:00,947944.1000653682,3412598760.235327 
 01/04  10:00:00,938742.9480724045,3379474613.060656 
 01/04  11:00:00,929342.2483488905,3345632094.056006 
 01/04  12:00:00,984439.1940940026,3543981098.73841 
 01/04  13:00:00,906565.9496868853,3263637418.8727875 
 01/04  14:00:00,965665.144260921,3476394519.3393164 
 01/04  15:00:00,987274.3387487312,3554187619.495433 
 01/04  16:00:00,990431.9388647891,3565554979.9132414 
 01/04  17:00:00,1040012.3128194865,3744044326.150152 
 01/04  18:00:00,818174.1419070298,2945426910.8653073 
 01/04  19:00:00,723764.9649156175,2605553873.6962233 
 01/04  20:00:00,673554.7713586608,2424797176.891179 
 01/04  21:00:00,633705.2748271215,2281338989.3776374 
 01/04  22:00:00,604201.7424259407,2175126272.7333865 
 01/04  23:00:00,470713.49945229175,1694568598.0282502 
 01/04  24:00:00,433727.7250909237,1561419810.3273253 
 01/05  01:00:00,384408.8371962065,1383871813.9063432 
 01/05  02:00:00,382974.7806452193,1378709210.3227892 
 01/05  03:00:00,382971.14658265986,1378696127.697575 
 01/05  04:00:00,382797.0025053276,1378069209.019179 
 01/05  05:00:00,382321.17995049525,1376356247.821783 
 01/05  06:00:00,427603.76808233274,1539373565.0963976 
 01/05  07:00:00,586798.2708610262,2112473775.0996947 
 01/05  08:00:00,618919.9356866427,2228111768.4719143 
 01/05  09:00:00,951585.4908120529,3425707766.9233904 
 01/05  10:00:00,951429.3754549228,3425145751.6377225 
 01/05  11:00:00,940015.6034361375,3384056172.3700953 
 01/05  12:00:00,981827.6016967067,3534579366.1081448 
 01/05  13:00:00,930607.7437316431,3350187877.433915 
 01/05  14:00:00,1011357.2883527459,3640886238.0698857 
 01/05  15:00:00,1030122.4332825359,3708440759.81713 
 01/05  16:00:00,1043152.9132813597,3755350487.8128967 
 01/05  17:00:00,1081806.773947333,3894504386.2104 
 01/05  18:00:00,827060.0851089731,2977416306.392303 
 01/05  19:00:00,747050.3741405997,2689381346.906159 
 01/05  20:00:00,697912.911688754,2512486482.079514 
 01/05  21:00:00,649700.9462951353,2338923406.6624875 
 01/05  22:00:00,617463.5015247491,2222868605.489097 
 01/05  23:00:00,479282.64735288156,1725417530.470374 
 01/05  24:00:00,446272.06263206113,1606579425.47542 
 01/06  01:00:00,398879.1065484853,1435964783.5745468 
 01/06  02:00:00,396448.40662750346,1427214263.8590124 
 01/06  03:00:00,394600.6152021831,1420562214.727859 
 01/06  04:00:00,393942.99061468337,1418194766.2128596 
 01/06  05:00:00,394681.7442591829,1420854279.3330586 
 01/06  06:00:00,441017.41865614365,1587662707.1621177 
 01/06  07:00:00,618682.5498354146,2227257179.4074926 
 01/06  08:00:00,647537.0243932921,2331133287.815852 
 01/06  09:00:00,975766.4191543531,3512759108.955672 
 01/06  10:00:00,951265.2098479253,3424554755.4525323 
 01/06  11:00:00,927005.2843285584,3337219023.5828104 
 01/06  12:00:00,961643.2991861579,3461915877.0701685 
 01/06  13:00:00,916389.4104223861,3299001877.520591 
 01/06  14:00:00,986329.9654814634,3550787875.7332687 
 01/06  15:00:00,1008947.1520040501,3632209747.2145805 
 01/06  16:00:00,1010094.796721676,3636341268.1980333 
 01/06  17:00:00,1047687.8971206198,3771676429.6342316 
 01/06  18:00:00,819842.3074097974,2951432306.6752706 
 01/06  19:00:00,739593.4725507526,2662536501.182709 
 01/06  20:00:00,695291.898968294,2503050836.285858 
 01/06  21:00:00,654044.4822667096,2354560136.1601543 
 01/06  22:00:00,621591.3295057088,2237728786.220552 
 01/06  23:00:00,480815.3583991186,1730935290.2368271 
 01/06  24:00:00,442512.5342425532,1593045123.2731917 
 01/07  01:00:00,365467.16551388684,1315681795.8499925 
 01/07  02:00:00,360352.17389970314,1297267826.0389311 
 01/07  03:00:00,359080.00375495694,1292688013.5178447 
 01/07  04:00:00,357150.2812614136,1285741012.5410888 
 01/07  05:00:00,356165.2021205468,1282194727.633968 
 01/07  06:00:00,395156.7406495311,1422564266.3383117 
 01/07  07:00:00,583179.8942720053,2099447619.3792193 
 01/07  08:00:00,565544.5226322502,2035960281.4761012 
 01/07  09:00:00,637396.894020319,2294628818.4731483 
 01/07  10:00:00,603490.9957321297,2172567584.635667 
 01/07  11:00:00,562443.5895499485,2024796922.3798146 
 01/07  12:00:00,583656.8321307168,2101164595.6705801 
 01/07  13:00:00,530935.6011674982,1911368164.2029936 
 01/07  14:00:00,563609.3818921542,2028993774.8117557 
 01/07  15:00:00,569717.6663435366,2050983598.8367321 
 01/07  16:00:00,569935.3119169922,2051767122.901172 
 01/07  17:00:00,615257.0222431861,2214925280.0754704 
 01/07  18:00:00,615038.048379126,2214136974.1648536 
 01/07  19:00:00,533840.7311051992,1921826631.978717 
 01/07  20:00:00,470267.15817099996,1692961769.4156003 
 01/07  21:00:00,452228.94125890656,1628024188.5320637 
 01/07  22:00:00,423006.3545536045,1522822876.392976 
 01/07  23:00:00,400465.5747941768,1441676069.2590365 
 01/07  24:00:00,378941.94021368003,1364190984.769248 
 01/08  01:00:00,359739.70817837754,1295062949.442159 
 01/08  02:00:00,356246.87160814204,1282488737.789311 
 01/08  03:00:00,356153.1073855066,1282151186.5878236 
 01/08  04:00:00,355914.4104344584,1281291877.5640502 
 01/08  05:00:00,355514.27507926075,1279851390.2853384 
 01/08  06:00:00,373738.3712994118,1345458136.6778822 
 01/08  07:00:00,470582.3760066743,1694096553.6240282 
 01/08  08:00:00,459183.6767964542,1653061236.4672353 
 01/08  09:00:00,451645.74943670514,1625924697.9721382 
 01/08  10:00:00,418910.93697849294,1508079373.1225746 
 01/08  11:00:00,380961.227268425,1371460418.1663299 
 01/08  12:00:00,403741.5089769143,1453469432.3168912 
 01/08  13:00:00,459923.3857880814,1655724188.8370924 
 01/08  14:00:00,482667.6760996605,1737603633.9587777 
 01/08  15:00:00,484077.2936280269,1742678257.0608966 
 01/08  16:00:00,491519.06150208786,1769468621.4075165 
 01/08  17:00:00,508552.94075766316,1830790586.7275877 
 01/08  18:00:00,513565.16182585695,1848834582.5730853 
 01/08  19:00:00,509386.38398774597,1833790982.3558855 
 01/08  20:00:00,462052.1185124213,1663387626.644717 
 01/08  21:00:00,452440.8321601187,1628786995.7764277 
 01/08  22:00:00,423487.73460958176,1524555844.5944943 
 01/08  23:00:00,395869.19361148094,1425129097.0013313 
 01/08  24:00:00,373573.43987448723,1344864383.548154 
 01/09  01:00:00,382692.1360726875,1377691689.861675 
 01/09  02:00:00,381924.2233726212,1374927204.1414363 
 01/09  03:00:00,381726.53244658327,1374215516.8076994 
 01/09  04:00:00,381464.8706030796,1373273534.1710865 
 01/09  05:00:00,381227.1476568985,1372417731.5648344 
 01/09  06:00:00,436489.0477059059,1571360571.7412615 
 01/09  07:00:00,582460.3126067278,2096857125.3842206 
 01/09  08:00:00,620082.3463184428,2232296446.746395 
 01/09  09:00:00,925704.7842066657,3332537223.143997 
 01/09  10:00:00,916791.1442054949,3300448119.139782 
 01/09  11:00:00,911724.4820418991,3282208135.3508377 
 01/09  12:00:00,952704.5596921636,3429736414.8917904 
 01/09  13:00:00,913806.7965551331,3289704467.5984797 
 01/09  14:00:00,984755.7126945211,3545120565.7002773 
 01/09  15:00:00,1003300.6951143425,3611882502.4116335 
 01/09  16:00:00,1019963.9287281553,3671870143.42136 
 01/09  17:00:00,1066541.0719340441,3839547858.9625597 
 01/09  18:00:00,823274.2375725928,2963787255.2613344 
 01/09  19:00:00,748756.5416813324,2695523550.052797 
 01/09  20:00:00,698810.6461352283,2515718326.086822 
 01/09  21:00:00,646791.5751207002,2328449670.434521 
 01/09  22:00:00,603651.0596012593,2173143814.5645337 
 01/09  23:00:00,469313.07315773907,1689527063.3678608 
 01/09  24:00:00,433473.16670403647,1560503400.134531 
 01/10  01:00:00,384363.4876265572,1383708555.4556055 
 01/10  02:00:00,383287.701408189,1379835725.0694802 
 01/10  03:00:00,382913.5695281056,1378488850.3011801 
 01/10  04:00:00,382159.4308546402,1375773951.0767045 
 01/10  05:00:00,381734.76951117796,1374245170.2402408 
 01/10  06:00:00,422617.75705528934,1521423925.3990412 
 01/10  07:00:00,582305.646550298,2096300327.5810726 
 01/10  08:00:00,618656.8683103911,2227164725.917409 
 01/10  09:00:00,931289.3830446893,3352641778.9608817 
 01/10  10:00:00,929406.3250560545,3345862770.2017956 
 01/10  11:00:00,923526.8303167968,3324696589.140469 
 01/10  12:00:00,966731.9539691941,3480235034.289099 
 01/10  13:00:00,924306.5365280965,3327503531.5011487 
 01/10  14:00:00,998103.9681485156,3593174285.334657 
 01/10  15:00:00,1016487.5932063054,3659355335.5426993 
 01/10  16:00:00,1035689.5038168548,3728482213.740678 
 01/10  17:00:00,1081800.3685857772,3894481326.908798 
 01/10  18:00:00,827368.3050056552,2978525898.020359 
 01/10  19:00:00,748164.4987814156,2693392195.613097 
 01/10  20:00:00,699145.5985996583,2516924154.95877 
 01/10  21:00:00,640284.6868408184,2305024872.626947 
 01/10  22:00:00,611969.2669482884,2203089361.013839 
 01/10  23:00:00,478571.82699356735,1722858577.1768422 
 01/10  24:00:00,432908.50769486144,1558470627.7015011 
 01/11  01:00:00,384884.49709500064,1385584189.5420022 
 01/11  02:00:00,384321.47985806153,1383557327.4890215 
 01/11  03:00:00,383143.4124407836,1379316284.7868207 
 01/11  04:00:00,382954.6420871503,1378636711.5137408 
 01/11  05:00:00,382892.9096107195,1378414474.59859 
 01/11  06:00:00,424913.5709564269,1529688855.4431372 
 01/11  07:00:00,585505.7764475244,2107820795.2110884 
 01/11  08:00:00,618414.8898981867,2226293603.6334724 
 01/11  09:00:00,944835.6668442133,3401408400.6391683 
 01/11  10:00:00,942798.6503497013,3394075141.258925 
 01/11  11:00:00,949751.2520423556,3419104507.3524804 
 01/11  12:00:00,996336.6377969751,3586811896.06911 
 01/11  13:00:00,943588.6365205757,3396919091.4740734 
 01/11  14:00:00,1027265.2544084649,3698154915.8704743 
 01/11  15:00:00,1045328.2048600303,3763181537.49611 
 01/11  16:00:00,1060622.1559579463,3818239761.448608 
 01/11  17:00:00,1109031.3798754418,3992512967.5515914 
 01/11  18:00:00,834880.8129567435,3005570926.644277 
 01/11  19:00:00,752075.2765989656,2707470995.7562766 
 01/11  20:00:00,709370.3892496638,2553733401.2987895 
 01/11  21:00:00,662364.3887335673,2384511799.4408426 
 01/11  22:00:00,633013.4856421935,2278848548.3118963 
 01/11  23:00:00,482417.6091336667,1736703392.8812008 
 01/11  24:00:00,438079.20118725515,1577085124.274119 
 01/12  01:00:00,390603.8840532094,1406173982.591554 
 01/12  02:00:00,391230.92235638923,1408431320.483001 
 01/12  03:00:00,388819.8652330041,1399751514.8388145 
 01/12  04:00:00,389016.1228782686,1400458042.3617668 
 01/12  05:00:00,387450.5275413713,1394821899.1489365 
 01/12  06:00:00,428984.45575657004,1544344040.7236526 
 01/12  07:00:00,592827.6714077535,2134179617.067913 
 01/12  08:00:00,620688.5980398533,2234478952.943472 
 01/12  09:00:00,961171.6627008588,3460217985.7230916 
 01/12  10:00:00,959693.352193657,3454896067.8971653 
 01/12  11:00:00,953454.7762149852,3432437194.3739476 
 01/12  12:00:00,1001870.3134139632,3606733128.2902684 
 01/12  13:00:00,951023.3257111883,3423683972.5602784 
 01/12  14:00:00,1039119.6626685183,3740830785.606666 
 01/12  15:00:00,1064883.14954614,3833579338.366104 
 01/12  16:00:00,1091796.723519612,3930468204.670605 
 01/12  17:00:00,1146708.6970115788,4128151309.2416835 
 01/12  18:00:00,844426.0150716872,3039933654.258074 
 01/12  19:00:00,753995.9726149681,2714385501.4138846 
 01/12  20:00:00,715298.538884818,2575074739.985345 
 01/12  21:00:00,671512.4450587849,2417444802.211626 
 01/12  22:00:00,631775.7473002556,2274392690.2809205 
 01/12  23:00:00,492404.0612593084,1772654620.5335107 
 01/12  24:00:00,446684.4733625895,1608064104.105322 
 01/13  01:00:00,390359.0476152324,1405292571.4148364 
 01/13  02:00:00,387415.2198527427,1394694791.4698734 
 01/13  03:00:00,386402.58455029083,1391049304.3810468 
 01/13  04:00:00,385940.45758163306,1389385647.2938786 
 01/13  05:00:00,385912.1893351161,1389283881.606418 
 01/13  06:00:00,435347.39715534047,1567250629.759226 
 01/13  07:00:00,613261.7017569834,2207742126.32514 
 01/13  08:00:00,648771.6764666672,2335578035.2800016 
 01/13  09:00:00,993304.8927666877,3575897613.960077 
 01/13  10:00:00,978904.455400973,3524056039.4435024 
 01/13  11:00:00,980922.702515822,3531321729.05696 
 01/13  12:00:00,1027791.378279803,3700048961.807291 
 01/13  13:00:00,966264.6384438759,3478552698.397955 
 01/13  14:00:00,1058693.0313085655,3811294912.710837 
 01/13  15:00:00,1082170.0938707837,3895812337.934821 
 01/13  16:00:00,1096844.3064242,3948639503.127121 
 01/13  17:00:00,1144294.0056617248,4119458420.382209 
 01/13  18:00:00,840606.0512851286,3026181784.6264634 
 01/13  19:00:00,753390.4541374788,2712205634.894924 
 01/13  20:00:00,714501.0298526274,2572203707.469459 
 01/13  21:00:00,681421.2705975435,2453116574.1511564 
 01/13  22:00:00,653612.2807804727,2353004210.8097014 
 01/13  23:00:00,499706.8706384167,1798944734.2983003 
 01/13  24:00:00,461302.52474900335,1660689089.0964122 
 01/14  01:00:00,381188.5866498507,1372278911.9394622 
 01/14  02:00:00,375172.06068835285,1350619418.47807 
 01/14  03:00:00,369796.71932129184,1331268189.5566504 
 01/14  04:00:00,366806.2171101103,1320502381.596397 
