Date/Time,Electricity:Facility [J](Hourly),InteriorLights:Electricity [J](Hourly),InteriorEquipment:Electricity [J](Hourly) 
 01/01  01:00:00,1318402454.4099574,36545657.73145594,746122165.6661776 
 01/01  02:00:00,1330299145.2450929,36545657.73145594,746122165.6661776 
 01/01  03:00:00,1321865616.1560354,36545657.73145594,746122165.6661776 
 01/01  04:00:00,1313018968.1270776,36545657.73145594,746122165.6661776 
 01/01  05:00:00,1311119792.729714,36545657.73145594,746122165.6661776 
 01/01  06:00:00,1382864120.5622206,36545657.73145594,746122165.6661776 
 01/01  07:00:00,1742860677.868072,47289767.18430585,824394452.0555365 
 01/01  08:00:00,1682747037.9323857,46566726.65646302,824394452.0555365 
 01/01  09:00:00,1672504665.860035,43072650.04700511,824394452.0555365 
 01/01  10:00:00,1542892732.1186676,42562756.778707296,824394452.0555365 
 01/01  11:00:00,1501158207.4903147,42559924.65578557,824394452.0555365 
 01/01  12:00:00,1714689552.1226606,42559924.65578557,824394452.0555365 
 01/01  13:00:00,1815203434.3509448,42559924.65578557,824394452.0555365 
 01/01  14:00:00,1820338973.8361773,42559924.65578557,824394452.0555365 
 01/01  15:00:00,1863383911.3267293,42559924.65578557,824394452.0555365 
 01/01  16:00:00,1819414509.8944712,42649336.63940403,824394452.0555365 
 01/01  17:00:00,2018846393.80023,43708954.8400367,824394452.0555365 
 01/01  18:00:00,2058730458.301495,48362016.69552845,824394452.0555365 
 01/01  19:00:00,1888366790.791686,38694479.62202592,746122165.6661776 
 01/01  20:00:00,1736871324.0217953,36545657.73145594,746122165.6661776 
 01/01  21:00:00,1703299706.1081538,36545657.73145594,746122165.6661776 
 01/01  22:00:00,1577110010.257462,36545657.73145594,746122165.6661776 
 01/01  23:00:00,1464099174.1582947,36545657.73145594,746122165.6661776 
 01/01  24:00:00,1376452429.3998413,36545657.73145594,746122165.6661776 
 01/02  01:00:00,1407303356.8032744,36545657.73145594,836730825.2177298 
 01/02  02:00:00,1426635600.8485377,36545657.73145594,836730825.2177298 
 01/02  03:00:00,1419957461.8017309,36545657.73145594,836730825.2177298 
 01/02  04:00:00,1417467614.2948925,36545657.73145594,836730825.2177298 
 01/02  05:00:00,1422707919.6974497,36545657.73145594,836730825.2177298 
 01/02  06:00:00,1571446457.718358,38137022.65685523,836730825.2177298 
 01/02  07:00:00,2124442811.9383528,88762776.67582561,941093873.7368754 
 01/02  08:00:00,2269328645.344117,279646257.7145797,941093873.7368754 
 01/02  09:00:00,3417148486.7722454,776464567.441367,1524590982.1435692 
 01/02  10:00:00,3379656482.5922303,766187918.2276132,1524590982.1435692 
 01/02  11:00:00,3386555609.4692802,766134049.2768176,1524590982.1435692 
 01/02  12:00:00,3534404066.2884035,766134049.2768176,1524590982.1435692 
 01/02  13:00:00,3365317232.975105,766134049.2768176,1407891560.4622302 
 01/02  14:00:00,3653755937.054371,766134049.2768176,1524590982.1435692 
 01/02  15:00:00,3730992971.7567472,766134049.2768176,1524590982.1435692 
 01/02  16:00:00,3791379206.338414,767677269.4241564,1524590982.1435692 
 01/02  17:00:00,4017196893.133682,785581345.6160247,1524590982.1435692 
 01/02  18:00:00,3008030239.6404243,483278424.40618616,1057793295.4182142 
 01/02  19:00:00,2711750937.7736154,296653033.108991,941093873.7368754 
 01/02  20:00:00,2566890820.568663,296653033.108991,941093873.7368754 
 01/02  21:00:00,2408889805.364239,197765105.62937143,941093873.7368754 
 01/02  22:00:00,2261959698.9904838,197765105.62937143,941093873.7368754 
 01/02  23:00:00,1722250835.3145452,98887927.4796197,941093873.7368754 
 01/02  24:00:00,1581609382.5889938,49438589.07487582,941093873.7368754 
 01/03  01:00:00,1408667420.2756002,38694479.62202592,836730825.2177298 
 01/03  02:00:00,1397389667.9403937,36545657.73145594,836730825.2177298 
 01/03  03:00:00,1390422238.2198555,36545657.73145594,836730825.2177298 
 01/03  04:00:00,1381044847.7808259,36545657.73145594,836730825.2177298 
 01/03  05:00:00,1378169117.4149487,36545657.73145594,836730825.2177298 
 01/03  06:00:00,1546135817.20919,38137022.65685523,836730825.2177298 
 01/03  07:00:00,2118301859.292363,88762776.67582561,941093873.7368754 
 01/03  08:00:00,2232608559.8101234,279633605.7481395,941093873.7368754 
 01/03  09:00:00,3401109795.1296053,776316896.3826163,1524590982.1435692 
 01/03  10:00:00,3397626643.328045,766185691.1926992,1524590982.1435692 
 01/03  11:00:00,3401847173.0551295,766134049.2768176,1524590982.1435692 
 01/03  12:00:00,3591586388.647072,766134049.2768176,1524590982.1435692 
 01/03  13:00:00,3353177965.175138,766134049.2768176,1407891560.4622302 
 01/03  14:00:00,3593095397.8474073,766134049.2768176,1524590982.1435692 
 01/03  15:00:00,3666005425.3957977,766134049.2768176,1524590982.1435692 
 01/03  16:00:00,3748285860.993273,767677295.3575858,1524590982.1435692 
 01/03  17:00:00,3914151060.952938,785558887.5715864,1524590982.1435692 
 01/03  18:00:00,2981310275.1596684,483237718.91769034,1057793295.4182142 
 01/03  19:00:00,2679489844.5460224,296653033.108991,941093873.7368754 
 01/03  20:00:00,2436898351.8732944,296653033.108991,941093873.7368754 
 01/03  21:00:00,2283650004.001486,197765105.62937143,941093873.7368754 
 01/03  22:00:00,2170422360.295087,197765105.62937143,941093873.7368754 
 01/03  23:00:00,1679406370.235039,98887927.4796197,941093873.7368754 
 01/03  24:00:00,1559785364.2622466,49438589.07487582,941093873.7368754 
 01/04  01:00:00,1386315054.4502716,38694479.62202592,836730825.2177298 
 01/04  02:00:00,1378726523.998776,36545657.73145594,836730825.2177298 
 01/04  03:00:00,1378540308.628224,36545657.73145594,836730825.2177298 
 01/04  04:00:00,1377371460.271372,36545657.73145594,836730825.2177298 
 01/04  05:00:00,1375892206.6196444,36545657.73145594,836730825.2177298 
 01/04  06:00:00,1523661977.6477711,38137022.65685523,836730825.2177298 
 01/04  07:00:00,2114375490.6693656,88762776.67582561,941093873.7368754 
 01/04  08:00:00,2227548347.036729,279666506.59585273,941093873.7368754 
