Date/Time,Electricity:Facility [J](Monthly),Electricity:Building [J](Monthly),InteriorLights:Electricity [J](Monthly),Electricity:HVAC [J](Monthly),Electricity:Plant [J](Monthly),NaturalGas:Facility [J](Monthly),NaturalGas:Plant [J](Monthly),Electricity:Facility [J](RunPeriod),Electricity:Building [J](RunPeriod),InteriorLights:Electricity [J](RunPeriod),Electricity:HVAC [J](RunPeriod),Electricity:Plant [J](RunPeriod),NaturalGas:Facility [J](RunPeriod),NaturalGas:Plant [J](RunPeriod),MYGENERALLIGHTS [J](Monthly),MYGENERALLIGHTS [J](RunPeriod),MYBUILDINGELECTRIC [J](Monthly),MYBUILDINGELECTRIC [J](RunPeriod),MYBUILDINGOTHER [J](Monthly),MYBUILDINGOTHER [J](RunPeriod) 
January,12729195952.55132,11223810000.0,7121250000.0,1231747534.4476948,273638418.1033179,8284452818.054238,8284452818.054238,,,,,,,,7121250000.0,,11223810000.0,,4102560000.0 
February,11199704104.75496,9883800000.0,6226200000.0,1109459292.3900936,206444812.3646092,7781277809.755435,7781277809.755435,,,,,,,,6226200000.0,,9883800000.0,,3657600000.0 
March,12307883147.21159,10568070000.0,6589350000.0,1242907117.6457045,496906029.56555164,4360063138.385238,4360063138.385238,,,,,,,,6589350000.0,,10568070000.0,,3978720000.0 
April,11925164621.983656,10777140000.0,6822900000.0,518618543.1319374,629406078.8517302,4760115665.983091,4760115665.983091,,,,,,,,6822900000.0,,10777140000.0,,3954240000.0 
May,13755284595.060152,11223810000.0,7121250000.0,583202003.6113125,1948272591.448858,1716367120.6209984,1716367120.6209984,,,,,,,,7121250000.0,,11223810000.0,,4102560000.0 
June,13748770970.895742,10121400000.0,6291000000.0,575550150.7806059,3051820820.115148,788063984.6221654,788063984.6221654,,,,,,,,6291000000.0,,10121400000.0,,3830400000.0 
July,14995746140.360035,11223810000.0,7121250000.0,641448990.8427052,3130487149.5173206,981380127.2889681,981380127.2889681,,,,,,,,7121250000.0,,11223810000.0,,4102560000.0 
August,14505834682.270864,10895940000.0,6855300000.0,615018394.7902219,2994876287.4806395,886200366.4068599,886200366.4068599,,,,,,,,6855300000.0,,10895940000.0,,4040640000.0 
September,13498112504.384647,10449270000.0,6556950000.0,578838173.1009306,2470004331.283731,1278618446.228068,1278618446.228068,,,,,,,,6556950000.0,,10449270000.0,,3892320000.0 
October,13645713333.435228,11223810000.0,7121250000.0,1308454851.538904,1113448481.895986,3131557937.2912416,3131557937.2912416,,,,,,,,7121250000.0,,11223810000.0,,4102560000.0 
November,12073459997.214886,10449270000.0,6556950000.0,1206033212.5278692,418156784.6867272,5849952608.471784,5849952608.471784,,,,,,,,6556950000.0,,10449270000.0,,3892320000.0 
December,12451152518.856981,10895940000.0,6855300000.0,1234738471.1114776,320474047.7451757,7379025876.142004,7379025876.142004,156836022568.94223,128936070000.0,81238950000.0,10846016735.92179,17053935833.058783,47197075899.249886,47197075899.249886,6855300000.0,81238950000.0,10895940000.0,128936070000.0,4040640000.0,47697120000.0 
