Date/Time,Electricity:Facility [J](Hourly),InteriorLights:Electricity [J](Hourly),InteriorEquipment:Electricity [J](Hourly) 
 01/01  01:00:00,1308851214.9136317,36545657.73145594,746122165.6661776 
 01/01  02:00:00,1311418218.183225,36545657.73145594,746122165.6661776 
 01/01  03:00:00,1318086549.1755993,36545657.73145594,746122165.6661776 
 01/01  04:00:00,1308827283.697226,36545657.73145594,746122165.6661776 
 01/01  05:00:00,1301457268.9123356,36545657.73145594,746122165.6661776 
 01/01  06:00:00,1366447430.271055,36545657.73145594,746122165.6661776 
 01/01  07:00:00,1721948225.2039542,47289767.18430585,824394452.0555365 
 01/01  08:00:00,1686717616.4465451,46566726.65646302,824394452.0555365 
 01/01  09:00:00,1652520254.4259143,43072650.04700511,824394452.0555365 
 01/01  10:00:00,1532733664.5217037,42562756.778707296,824394452.0555365 
 01/01  11:00:00,1468833148.8283434,42559924.65578557,824394452.0555365 
 01/01  12:00:00,1663790436.6974664,42559924.65578557,824394452.0555365 
 01/01  13:00:00,1744831581.6693578,42559924.65578557,824394452.0555365 
 01/01  14:00:00,1785425005.232358,42559924.65578557,824394452.0555365 
 01/01  15:00:00,1824271050.749241,42559924.65578557,824394452.0555365 
 01/01  16:00:00,1786031176.3636386,42649336.63940403,824394452.0555365 
 01/01  17:00:00,1946758632.7842898,43708954.8400367,824394452.0555365 
 01/01  18:00:00,2031595262.6334715,48362016.69552845,824394452.0555365 
 01/01  19:00:00,1892617624.649142,38694479.62202592,746122165.6661776 
 01/01  20:00:00,1722043659.7727094,36545657.73145594,746122165.6661776 
 01/01  21:00:00,1691580602.5597832,36545657.73145594,746122165.6661776 
 01/01  22:00:00,1561622858.1386297,36545657.73145594,746122165.6661776 
 01/01  23:00:00,1451503874.211893,36545657.73145594,746122165.6661776 
 01/01  24:00:00,1365404722.6306171,36545657.73145594,746122165.6661776 
 01/02  01:00:00,1400941306.9125757,36545657.73145594,836730825.2177298 
 01/02  02:00:00,1398610928.4619627,36545657.73145594,836730825.2177298 
 01/02  03:00:00,1408087688.5047438,36545657.73145594,836730825.2177298 
 01/02  04:00:00,1419908631.6323783,36545657.73145594,836730825.2177298 
 01/02  05:00:00,1403204823.926664,36545657.73145594,836730825.2177298 
 01/02  06:00:00,1541865315.599889,38137022.65685523,836730825.2177298 
 01/02  07:00:00,2094592788.4103572,88762776.67582561,941093873.7368754 
 01/02  08:00:00,2232239871.121586,279646257.7145797,941093873.7368754 
 01/02  09:00:00,3320320566.9401355,776464567.441367,1524590982.1435692 
 01/02  10:00:00,3217879567.381127,766187918.2276132,1524590982.1435692 
 01/02  11:00:00,3249930498.6049433,766134049.2768176,1524590982.1435692 
 01/02  12:00:00,3370756351.379824,766134049.2768176,1524590982.1435692 
 01/02  13:00:00,3268061181.0309405,766134049.2768176,1407891560.4622302 
 01/02  14:00:00,3457946003.8891916,766134049.2768176,1524590982.1435692 
 01/02  15:00:00,3489448533.87455,766134049.2768176,1524590982.1435692 
 01/02  16:00:00,3523992979.686106,767677269.4241564,1524590982.1435692 
 01/02  17:00:00,3702245452.1428723,785581345.6160247,1524590982.1435692 
 01/02  18:00:00,2940435847.6504674,483278424.40618616,1057793295.4182142 
 01/02  19:00:00,2679783186.602518,296653033.108991,941093873.7368754 
 01/02  20:00:00,2505596563.1886315,296653033.108991,941093873.7368754 
 01/02  21:00:00,2340819963.939025,197765105.62937143,941093873.7368754 
 01/02  22:00:00,2196451773.1241655,197765105.62937143,941093873.7368754 
 01/02  23:00:00,1713376706.1802227,98887927.4796197,941093873.7368754 
 01/02  24:00:00,1573167898.8697844,49438589.07487582,941093873.7368754 
 01/03  01:00:00,1399935787.4119306,38694479.62202592,836730825.2177298 
