Date/Time,Whole Building:Facility Total Electricity Demand Rate [W](Hourly),Electricity:Facility [J](Hourly) 
 01/01  01:00:00,363569.7819204533,1308851214.9136317 
 01/01  02:00:00,364282.8383842292,1311418218.183225 
 01/01  03:00:00,366135.1525487776,1318086549.1755993 
 01/01  04:00:00,363563.1343603406,1308827283.697226 
 01/01  05:00:00,361515.9080312044,1301457268.9123356 
 01/01  06:00:00,379568.7306308486,1366447430.271055 
 01/01  07:00:00,478318.95144554274,1721948225.2039542 
 01/01  08:00:00,468532.6712351514,1686717616.4465451 
 01/01  09:00:00,459033.40400719846,1652520254.4259143 
 01/01  10:00:00,425759.3512560288,1532733664.5217037 
 01/01  11:00:00,408009.20800787327,1468833148.8283434 
 01/01  12:00:00,462164.0101937408,1663790436.6974664 
 01/01  13:00:00,484675.43935259944,1744831581.6693578 
 01/01  14:00:00,495951.3903423217,1785425005.232358 
 01/01  15:00:00,506741.95854145585,1824271050.749241 
 01/01  16:00:00,496119.77121212194,1786031176.3636386 
 01/01  17:00:00,540766.286884525,1946758632.7842898 
 01/01  18:00:00,564332.0173981865,2031595262.6334715 
 01/01  19:00:00,525727.117958095,1892617624.649142 
 01/01  20:00:00,478345.4610479747,1722043659.7727094 
 01/01  21:00:00,469883.5007110508,1691580602.5597832 
 01/01  22:00:00,433784.1272607304,1561622858.1386297 
 01/01  23:00:00,403195.5206144147,1451503874.211893 
 01/01  24:00:00,379279.0896196159,1365404722.6306171 
 01/02  01:00:00,389150.3630312711,1400941306.9125757 
 01/02  02:00:00,388503.0356838785,1398610928.4619627 
 01/02  03:00:00,391135.4690290955,1408087688.5047438 
 01/02  04:00:00,394419.0643423274,1419908631.6323783 
 01/02  05:00:00,389779.1177574067,1403204823.926664 
 01/02  06:00:00,428295.9209999692,1541865315.599889 
 01/02  07:00:00,581831.3301139881,2094592788.4103572 
 01/02  08:00:00,620066.630867107,2232239871.121586 
 01/02  09:00:00,922311.2685944821,3320320566.9401355 
 01/02  10:00:00,893855.4353836463,3217879567.381127 
 01/02  11:00:00,902758.4718347065,3249930498.6049433 
 01/02  12:00:00,936321.2087166175,3370756351.379824 
 01/02  13:00:00,907794.7725085946,3268061181.0309405 
 01/02  14:00:00,960540.5566358865,3457946003.8891916 
 01/02  15:00:00,969291.2594095971,3489448533.87455 
 01/02  16:00:00,978886.938801696,3523992979.686106 
 01/02  17:00:00,1028401.5144841314,3702245452.1428723 
 01/02  18:00:00,816787.7354584631,2940435847.6504674 
 01/02  19:00:00,744384.2185006995,2679783186.602518 
 01/02  20:00:00,695999.0453301753,2505596563.1886315 
 01/02  21:00:00,650227.7677608401,2340819963.939025 
 01/02  22:00:00,610125.4925344903,2196451773.1241655 
 01/02  23:00:00,475937.97393895074,1713376706.1802227 
 01/02  24:00:00,436991.0830193845,1573167898.8697844 
 01/03  01:00:00,388871.05205886957,1399935787.4119306 
 01/03  02:00:00,385819.8483078898,1388951453.908403 
 01/03  03:00:00,383943.3666229674,1382196119.8426826 
 01/03  04:00:00,381800.9735414709,1374483504.749295 
 01/03  05:00:00,381091.19810197776,1371928313.16712 
 01/03  06:00:00,420639.57756404375,1514302479.2305574 
 01/03  07:00:00,578273.9792888163,2081786325.4397388 
 01/03  08:00:00,612242.4482008517,2204072813.5230665 
 01/03  09:00:00,914093.5118642246,3290736642.711209 
 01/03  10:00:00,886276.801250608,3190596484.502189 
 01/03  11:00:00,896698.3333444848,3228114000.040146 
 01/03  12:00:00,943891.2446900513,3398008480.8841853 
 01/03  13:00:00,900897.2394304108,3243230061.949479 
 01/03  14:00:00,945546.3743944425,3403966947.8199935 
 01/03  15:00:00,961331.6183500503,3460793826.0601816 
 01/03  16:00:00,975507.9692944771,3511828689.4601183 
 01/03  17:00:00,1019810.1738448837,3671316625.8415813 
 01/03  18:00:00,810329.5981684282,2917186553.406341 
 01/03  19:00:00,723821.381848801,2605756974.655684 
 01/03  20:00:00,657407.9164425513,2366668499.193185 
 01/03  21:00:00,616129.7499654368,2218067099.8755727 
 01/03  22:00:00,585193.1215458087,2106695237.5649116 
 01/03  23:00:00,464181.3032596938,1671052691.7348976 
 01/03  24:00:00,430970.8319420206,1551494994.9912744 
 01/04  01:00:00,382932.8720702441,1378558339.452879 
 01/04  02:00:00,381151.50512785005,1372145418.4602602 
 01/04  03:00:00,381110.95829302026,1371999449.8548725 
 01/04  04:00:00,380807.4277957152,1370906740.0645747 
 01/04  05:00:00,380406.2651720222,1369462554.61928 
 01/04  06:00:00,416612.45248807315,1499804828.9570632 
 01/04  07:00:00,577833.1796331756,2080199446.6794324 
 01/04  08:00:00,610825.6811828855,2198972452.2583885 
 01/04  09:00:00,912092.7047354355,3283533737.0475674 
 01/04  10:00:00,881569.176860198,3173649036.6967134 
 01/04  11:00:00,877387.0375342965,3158593335.123468 
 01/04  12:00:00,932437.6188619357,3356775427.902969 
 01/04  13:00:00,876927.8832216635,3156940379.5979886 
 01/04  14:00:00,916734.0641353559,3300242630.887282 
 01/04  15:00:00,932761.3758863081,3357940953.190709 
 01/04  16:00:00,934556.6771620387,3364404037.7833395 
 01/04  17:00:00,984422.316564533,3543920339.63232 
 01/04  18:00:00,794279.3164814304,2859405539.3331494 
 01/04  19:00:00,703170.7608106291,2531414738.9182653 
 01/04  20:00:00,654387.9942448661,2355796779.281518 
 01/04  21:00:00,615295.6104904307,2215064197.765551 
 01/04  22:00:00,586469.5222467761,2111290280.0883946 
 01/04  23:00:00,468193.05912481784,1685495012.8493445 
 01/04  24:00:00,431314.4397730597,1552731983.1830149 
 01/05  01:00:00,382340.00600691483,1376424021.6248932 
 01/05  02:00:00,381096.3850776415,1371946986.2795095 
 01/05  03:00:00,381105.1996682933,1371978718.8058555 
 01/05  04:00:00,380954.20634310046,1371435142.835162 
 01/05  05:00:00,380491.32219765877,1369768759.9115717 
 01/05  06:00:00,416375.548858555,1498951975.890798 
 01/05  07:00:00,577234.1036416017,2078042773.1097667 
 01/05  08:00:00,610601.2726508995,2198164581.543238 
 01/05  09:00:00,911825.1499874507,3282570539.9548225 
 01/05  10:00:00,897601.5051371536,3231365418.493753 
 01/05  11:00:00,892921.6639732161,3214517990.3035784 
 01/05  12:00:00,930438.5878680298,3349578916.324908 
 01/05  13:00:00,899756.8620499898,3239124703.3799634 
 01/05  14:00:00,954856.8843740333,3437484783.74652 
 01/05  15:00:00,968158.2733029124,3485369783.8904853 
 01/05  16:00:00,973468.9863477787,3504488350.8520036 
 01/05  17:00:00,1014515.4755822783,3652255712.096203 
 01/05  18:00:00,809107.5090141163,2912787032.450819 
 01/05  19:00:00,727111.6123435745,2617601804.436868 
 01/05  20:00:00,678187.5885749034,2441475318.8696527 
 01/05  21:00:00,630675.7701710891,2270432772.615921 
 01/05  22:00:00,599109.5531094153,2156794391.193896 
 01/05  23:00:00,476658.40050955303,1715970241.8343916 
 01/05  24:00:00,443668.745704222,1597207484.5351992 
 01/06  01:00:00,396189.03975225677,1426280543.1081245 
 01/06  02:00:00,393829.28936793905,1417785441.7245803 
 01/06  03:00:00,392040.5443369413,1411345959.6129887 
 01/06  04:00:00,391411.3202339497,1409080752.8422189 
 01/06  05:00:00,392149.03791754576,1411736536.5031648 
 01/06  06:00:00,439252.05615058605,1581307402.1421096 
 01/06  07:00:00,601353.7474921598,2164873490.9717755 
 01/06  08:00:00,630406.4093898536,2269463073.803473 
 01/06  09:00:00,929110.5839276918,3344798102.139691 
 01/06  10:00:00,896420.6170063004,3227114221.222681 
 01/06  11:00:00,874864.4837460154,3149512141.485656 
 01/06  12:00:00,911700.1129209801,3282120406.5155296 
 01/06  13:00:00,890492.7176315166,3205773783.473461 
 01/06  14:00:00,936372.1631208071,3370939787.234906 
 01/06  15:00:00,945092.4081909106,3402332669.487279 
 01/06  16:00:00,947485.5452407253,3410947962.8666115 
 01/06  17:00:00,992668.4666563295,3573606479.9627867 
 01/06  18:00:00,799162.7260744557,2876985813.8680406 
 01/06  19:00:00,720373.8942041217,2593346019.134838 
 01/06  20:00:00,676097.1625923247,2433949785.332369 
 01/06  21:00:00,635272.8592776982,2286982293.3997145 
 01/06  22:00:00,603386.8145311846,2172192532.312265 
 01/06  23:00:00,478106.42235141835,1721183120.4651065 
 01/06  24:00:00,439927.649648101,1583739538.7331636 
 01/07  01:00:00,362877.63485606917,1306359485.4818487 
 01/07  02:00:00,357872.18624200654,1288339870.471223 
 01/07  03:00:00,356644.95789833507,1283921848.4340062 
