Date/Time,Electricity:Facility [J](Hourly),NaturalGas:Facility [J](Hourly),Electricity:Facility [J](Monthly),Electricity:Building [J](Monthly),InteriorLights:Electricity [J](Monthly),Electricity:HVAC [J](Monthly),Electricity:Plant [J](Monthly),NaturalGas:Facility [J](Monthly),NaturalGas:Plant [J](Monthly),Electricity:Facility [J](RunPeriod),Electricity:Building [J](RunPeriod),InteriorLights:Electricity [J](RunPeriod),Electricity:HVAC [J](RunPeriod),Electricity:Plant [J](RunPeriod),NaturalGas:Facility [J](RunPeriod),NaturalGas:Plant [J](RunPeriod),MYGENERALLIGHTS [J](Monthly),MYGENERALLIGHTS [J](RunPeriod),MYBUILDINGELECTRIC [J](Monthly),MYBUILDINGELECTRIC [J](RunPeriod),MYBUILDINGOTHER [J](Monthly),MYBUILDINGOTHER [J](RunPeriod) 
 01/01  01:00:00,3330472.764781859,215404.85210498382 
 01/01  02:00:00,3333141.179983257,1702640.2425382154 
 01/01  03:00:00,3336221.6317491867,4414988.742741462 
 01/01  04:00:00,3339166.510884646,7378038.913848154 
 01/01  05:00:00,3343256.182200022,9472130.470437268 
 01/01  06:00:00,3346018.426743854,9225608.304608896 
 01/01  07:00:00,3784097.727119198,96559925.59053385 
 01/01  08:00:00,3761494.8119306546,90945837.35105368 
 01/01  09:00:00,33259453.01278481,50743897.370414846 
 01/01  10:00:00,43545380.42974843,28159454.56082695 
 01/01  11:00:00,44890717.91046099,16005629.992814232 
 01/01  12:00:00,43534918.49934235,11199792.56357772 
 01/01  13:00:00,39463288.92692371,7149884.156346012 
 01/01  14:00:00,42206392.37699774,5906446.869880134 
 01/01  15:00:00,43144261.22595951,4257754.93458526 
 01/01  16:00:00,41337900.18992928,6915176.217881539 
 01/01  17:00:00,37664639.94457884,17891551.70714912 
 01/01  18:00:00,37664544.61475532,22598542.279270615 
 01/01  19:00:00,23300538.877557684,39795510.31009302 
 01/01  20:00:00,12556131.316370752,58398345.393821634 
 01/01  21:00:00,7379972.211455491,0.0 
 01/01  22:00:00,3329972.2114554914,0.0 
 01/01  23:00:00,3329972.2114554914,0.0 
 01/01  24:00:00,3329972.2114554914,0.0 
 01/02  01:00:00,3330045.496408572,30374.88079660323 
 01/02  02:00:00,3331311.751264976,621638.3387251949 
 01/02  03:00:00,3332876.515960538,1682299.699359384 
 01/02  04:00:00,3334654.869680869,3339092.6728307176 
 01/02  05:00:00,3334315.652543416,3514111.7266858644 
 01/02  06:00:00,3334391.823678972,3778998.06412792 
 01/02  07:00:00,3749701.5226716804,92934094.3572819 
 01/02  08:00:00,3710409.8642391865,82789731.62423824 
 01/02  09:00:00,33218749.615423255,39435343.053899646 
 01/02  10:00:00,43524865.70840077,20087486.43095559 
 01/02  11:00:00,44898301.497582346,4772304.69238899 
 01/02  12:00:00,43991737.37185569,1282954.4382176509 
 01/02  13:00:00,39474203.78606675,1201530.533091758 
 01/02  14:00:00,44343571.65764618,0.0 
 01/02  15:00:00,46021763.03081431,0.0 
 01/02  16:00:00,44255679.86521756,0.0 
 01/02  17:00:00,38805031.721562795,1006824.729998985 
 01/02  18:00:00,37667267.104930304,5886732.711086768 
 01/02  19:00:00,23266238.204760138,26939416.11855623 
 01/02  20:00:00,12499358.20447808,40856487.57718775 
 01/02  21:00:00,7379972.211455491,0.0 
 01/02  22:00:00,3329972.2114554914,0.0 
 01/02  23:00:00,3329972.2114554914,0.0 
 01/02  24:00:00,3329972.2114554914,0.0 
 01/03  01:00:00,3329972.2114554914,0.0 
 01/03  02:00:00,3329972.2114554914,0.0 
 01/03  03:00:00,3329972.2114554914,0.0 
