Date/Time,Whole Building:Facility Total Electricity Demand Rate [W](Hourly),Electricity:Facility [J](Hourly) 
 01/01  01:00:00,366858.9624820738,1320692264.9354656 
 01/01  02:00:00,366096.2225860332,1317946401.3097196 
 01/01  03:00:00,367873.96775522834,1324346283.918822 
 01/01  04:00:00,369569.6262747508,1330450654.5891027 
 01/01  05:00:00,366744.41876628646,1320279907.558631 
 01/01  06:00:00,382856.42368683266,1378283125.2725973 
 01/01  07:00:00,480839.91144508106,1731023681.202292 
 01/01  08:00:00,472994.7560009275,1702781121.6033387 
 01/01  09:00:00,460322.46995781624,1657160891.8481388 
 01/01  10:00:00,434232.99920568074,1563238797.1404507 
 01/01  11:00:00,416958.0776226008,1501049079.4413624 
 01/01  12:00:00,479594.3789270579,1726539764.1374078 
 01/01  13:00:00,500621.6671444378,1802238001.719976 
 01/01  14:00:00,509832.2981351049,1835396273.2863777 
 01/01  15:00:00,517697.6548478731,1863711557.452343 
 01/01  16:00:00,508537.496035981,1830734985.7295318 
 01/01  17:00:00,559279.4391373956,2013405980.8946233 
 01/01  18:00:00,585181.5894927664,2106653722.1739588 
 01/01  19:00:00,520616.8223961216,1874220560.6260374 
 01/01  20:00:00,487705.8976321307,1755741231.4756706 
 01/01  21:00:00,469485.4406454526,1690147586.3236291 
 01/01  22:00:00,443390.32354785345,1596205164.7722728 
 01/01  23:00:00,403153.86421744735,1451353911.1828108 
 01/01  24:00:00,386276.5107944482,1390595438.860014 
 01/02  01:00:00,392510.9156985481,1413039296.5147734 
 01/02  02:00:00,392811.0997022369,1414119958.9280527 
 01/02  03:00:00,398459.0412387722,1434452548.45958 
 01/02  04:00:00,394391.55315062427,1419809591.3422472 
 01/02  05:00:00,395974.4826349096,1425508137.4856746 
 01/02  06:00:00,437639.6272826812,1575502658.217652 
 01/02  07:00:00,592088.6026137794,2131518969.4096057 
 01/02  08:00:00,633347.8546668406,2280052276.8006268 
 01/02  09:00:00,958195.7061064886,3449504541.9833584 
 01/02  10:00:00,947189.2909829309,3409881447.5385504 
 01/02  11:00:00,950658.6033393868,3422370972.0217924 
 01/02  12:00:00,993036.563569008,3574931628.848429 
 01/02  13:00:00,940574.386124514,3386067790.048251 
 01/02  14:00:00,1029631.9338813745,3706674961.972948 
 01/02  15:00:00,1054274.5362905196,3795388330.645871 
 01/02  16:00:00,1079304.3545425218,3885495676.353078 
 01/02  17:00:00,1133558.9877152035,4080812355.7747326 
 01/02  18:00:00,840401.0644018805,3025443831.846769 
 01/02  19:00:00,755773.0308182448,2720782910.9456797 
 01/02  20:00:00,716166.3800462779,2578198968.1665998 
 01/02  21:00:00,673936.4371474008,2426171173.730643 
 01/02  22:00:00,633065.498506337,2279035794.622813 
 01/02  23:00:00,479005.5619690034,1724420023.0884125 
 01/02  24:00:00,439907.10985406366,1583665595.4746292 
 01/03  01:00:00,391888.62360942207,1410799044.9939194 
 01/03  02:00:00,388734.8382857611,1399445417.82874 
 01/03  03:00:00,386784.45304514,1392424030.962504 
 01/03  04:00:00,384077.42321477295,1382678723.5731826 
 01/03  05:00:00,383255.1882190386,1379718677.588539 
 01/03  06:00:00,430661.1266790835,1550380056.0447004 
 01/03  07:00:00,590169.0694036166,2124608649.8530197 
 01/03  08:00:00,622396.4375420405,2240627175.1513453 
 01/03  09:00:00,958119.9225109075,3449231721.0392666 
 01/03  10:00:00,953884.9771383767,3433985917.6981554 
 01/03  11:00:00,958331.973041613,3449995102.9498053 
 01/03  12:00:00,1013216.2295364548,3647578426.331237 
 01/03  13:00:00,939221.6765185861,3381198035.4669104 
 01/03  14:00:00,1012711.3596158925,3645760894.6172132 
 01/03  15:00:00,1043585.0526795561,3756906189.6464024 
 01/03  16:00:00,1072922.292247763,3862520252.0919476 
 01/03  17:00:00,1119488.9257452835,4030160132.6830206 
 01/03  18:00:00,833894.0169355356,3002018460.9679275 
 01/03  19:00:00,748951.0207961096,2696223674.8659945 
 01/03  20:00:00,682174.60105554,2455828563.799944 
 01/03  21:00:00,639333.6074708946,2301600986.8952203 
 01/03  22:00:00,607747.0072753078,2187889226.1911078 
 01/03  23:00:00,467097.10483892495,1681549577.42013 
 01/03  24:00:00,433864.5567216026,1561912404.1977696 
 01/04  01:00:00,385657.9119792234,1388368483.1252043 
 01/04  02:00:00,383454.1841559012,1380435062.9612443 
 01/04  03:00:00,383398.9538204728,1380236233.7537022 
 01/04  04:00:00,383068.13360007684,1379045280.9602764 
 01/04  05:00:00,382653.0916944226,1377551130.0999217 
 01/04  06:00:00,429079.4910838665,1544686167.9019196 
 01/04  07:00:00,589692.6992716665,2122893717.377999 
 01/04  08:00:00,620949.1133804722,2235416808.1696997 
 01/04  09:00:00,961667.6685823565,3462003606.8964825 
 01/04  10:00:00,952380.4618826025,3428569662.7773695 
 01/04  11:00:00,942102.4183311998,3391568705.9923186 
 01/04  12:00:00,1000036.4369464343,3600131173.007164 
 01/04  13:00:00,914712.3745221547,3292964548.279757 
 01/04  14:00:00,981743.8060001374,3534277701.6004944 
 01/04  15:00:00,1003497.9069909587,3612592465.167452 
 01/04  16:00:00,1007054.1335966494,3625394880.947938 
 01/04  17:00:00,1057083.8050243857,3805501698.087788 
 01/04  18:00:00,822064.1727898358,2959431022.043408 
 01/04  19:00:00,729393.0661610835,2625815038.1799 
 01/04  20:00:00,678809.0054080352,2443712419.4689264 
 01/04  21:00:00,638771.4891093035,2299577360.793492 
 01/04  22:00:00,609142.5708090438,2192913254.9125576 
 01/04  23:00:00,471366.75659275753,1696920323.733927 
 01/04  24:00:00,434352.99807265325,1563670793.0615516 
 01/05  01:00:00,384966.1266602394,1385878055.9768617 
 01/05  02:00:00,383467.1780775399,1380481841.0791435 
 01/05  03:00:00,383460.02071825956,1380456074.5857346 
 01/05  04:00:00,383288.79417846794,1379839659.0424848 
 01/05  05:00:00,382798.3865676794,1378074191.643646 
 01/05  06:00:00,429073.7791846698,1544665605.0648112 
 01/05  07:00:00,590099.2236619662,2124357205.1830783 
 01/05  08:00:00,621648.9076284318,2237936067.4623537 
 01/05  09:00:00,966157.1339952637,3478165682.382949 
 01/05  10:00:00,962430.1316844592,3464748474.0640526 
 01/05  11:00:00,954380.6421556076,3435770311.760187 
 01/05  12:00:00,997891.3112838161,3592408720.6217375 
 01/05  13:00:00,939078.4641505703,3380682470.942054 
 01/05  14:00:00,1031268.8227596452,3712567761.934723 
 01/05  15:00:00,1061450.7369485882,3821222653.014918 
 01/05  16:00:00,1077629.1105740492,3879464798.0665784 
 01/05  17:00:00,1114257.7258534401,4011327813.072384 
 01/05  18:00:00,833368.1133012162,3000125207.884378 
 01/05  19:00:00,751298.7099599452,2704675355.8558025 
 01/05  20:00:00,703253.8759809929,2531713953.531574 
 01/05  21:00:00,654946.5301079099,2357807508.388476 
 01/05  22:00:00,622528.3066496588,2241101903.9387717 
 01/05  23:00:00,479976.3624367738,1727914904.7723856 
 01/05  24:00:00,446959.7080941635,1609054949.1389885 
 01/06  01:00:00,399589.9657897579,1438523876.8431282 
 01/06  02:00:00,397140.24456154724,1429704880.4215703 
 01/06  03:00:00,395276.66574419715,1422995996.6791096 
 01/06  04:00:00,394611.555135352,1420601598.4872673 
 01/06  05:00:00,395350.73381135333,1423262641.720872 
 01/06  06:00:00,442546.0488550018,1593165775.8780065 
 01/06  07:00:00,623632.0191034874,2245075268.7725544 
 01/06  08:00:00,652307.6919274818,2348307690.9389343 
 01/06  09:00:00,984391.6036473924,3543809773.1306124 
 01/06  10:00:00,961133.4319443237,3460080354.999565 
 01/06  11:00:00,941971.4539368186,3391097234.1725473 
 01/06  12:00:00,980044.9250613572,3528161730.220886 
 01/06  13:00:00,926108.9013257641,3333992044.7727504 
 01/06  14:00:00,1006820.5177013832,3624553863.7249804 
 01/06  15:00:00,1040830.578841804,3746990083.830494 
 01/06  16:00:00,1038322.903228363,3737962451.622107 
 01/06  17:00:00,1071965.5165045895,3859075859.4165215 
 01/06  18:00:00,824114.5933959995,2966812536.2255974 
 01/06  19:00:00,744910.474868699,2681677709.5273147 
 01/06  20:00:00,700512.8660498438,2521846317.7794375 
 01/06  21:00:00,659212.8883794406,2373166398.165986 
 01/06  22:00:00,626601.4299168341,2255765147.700603 
 01/06  23:00:00,481533.0211458535,1733518876.125073 
 01/06  24:00:00,443196.3436309242,1595506837.0713272 
 01/07  01:00:00,366151.9771770096,1318147117.8372345 
 01/07  02:00:00,361007.4302390008,1299626748.8604028 
 01/07  03:00:00,359723.1109878227,1295003199.5561614 
 01/07  04:00:00,357707.63271156576,1287747477.7616367 
 01/07  05:00:00,356651.13591783005,1283944089.3041883 
 01/07  06:00:00,397193.07855280815,1429895082.7901094 
 01/07  07:00:00,585696.4594285899,2108507253.942924 
 01/07  08:00:00,567689.8933514337,2043683616.0651612 
 01/07  09:00:00,639556.1780149181,2302402240.853705 
 01/07  10:00:00,606835.0517545764,2184606186.316475 
 01/07  11:00:00,567284.669349469,2042224809.6580882 
 01/07  12:00:00,588429.019960064,2118344471.85623 
 01/07  13:00:00,536146.2820401363,1930126615.3444905 
 01/07  14:00:00,567507.9180525411,2043028504.9891477 
 01/07  15:00:00,571842.317203598,2058632341.9329529 
 01/07  16:00:00,572883.1393896494,2062379301.8027382 
 01/07  17:00:00,617767.306668974,2223962304.008306 
 01/07  18:00:00,619366.3444449977,2229718840.0019917 
 01/07  19:00:00,534251.7996947531,1923306478.9011116 
 01/07  20:00:00,470919.96488404245,1695311873.582553 
 01/07  21:00:00,452900.4641815293,1630441671.053505 
 01/07  22:00:00,423643.4884573584,1525116558.4464903 
 01/07  23:00:00,401101.83625134156,1443966610.50483 
 01/07  24:00:00,379561.2930002922,1366420654.8010516 
 01/08  01:00:00,360334.746415551,1297205087.0959835 
 01/08  02:00:00,356734.8539505936,1284245474.222137 
 01/08  03:00:00,356608.42047976254,1283790313.727145 
 01/08  04:00:00,356367.32737010607,1282922378.5323818 
 01/08  05:00:00,355963.7884247375,1281469638.329055 
 01/08  06:00:00,374188.5093356492,1347078633.6083372 
 01/08  07:00:00,470984.4965293357,1695544187.5056088 
 01/08  08:00:00,459590.4132992926,1654525487.8774538 
 01/08  09:00:00,452060.0195681371,1627416070.445294 
 01/08  10:00:00,419390.9124269574,1509807284.7370467 
 01/08  11:00:00,381554.0223003153,1373594480.2811353 
 01/08  12:00:00,404649.9686638165,1456739887.189739 
 01/08  13:00:00,466336.61963678757,1678811830.6924348 
 01/08  14:00:00,486464.4829005964,1751272138.4421465 
 01/08  15:00:00,488555.6394223194,1758800301.9203496 
 01/08  16:00:00,494349.06420879,1779656631.151644 
 01/08  17:00:00,510233.7530316605,1836841510.9139776 
 01/08  18:00:00,513954.07894336426,1850234684.1961114 
 01/08  19:00:00,509911.80493372196,1835682497.7613986 
 01/08  20:00:00,462761.01564178895,1665939656.31044 
 01/08  21:00:00,453084.756429671,1631105123.1468158 
 01/08  22:00:00,424101.9698326311,1526767091.3974724 
 01/08  23:00:00,396473.61887567135,1427305027.9524171 
 01/08  24:00:00,374145.43837000715,1346923578.132026 
 01/09  01:00:00,383253.5064373787,1379712623.1745632 
 01/09  02:00:00,382396.0918000357,1376625930.4801283 
 01/09  03:00:00,382171.10563671635,1375815980.2921789 
 01/09  04:00:00,381907.5970928196,1374867349.5341504 
 01/09  05:00:00,381667.76003419975,1374003936.123119 
 01/09  06:00:00,437576.53850787046,1575275538.6283338 
 01/09  07:00:00,583495.4736370123,2100583705.0932443 
 01/09  08:00:00,622202.6661258942,2239929598.053219 
 01/09  09:00:00,933546.0938339793,3360765937.802325 
 01/09  10:00:00,930486.0187978802,3349749667.672369 
 01/09  11:00:00,922015.2544639503,3319254916.070221 
 01/09  12:00:00,966382.2777424889,3478976199.872959 
 01/09  13:00:00,921216.4411952667,3316379188.3029594 
 01/09  14:00:00,998605.5172800623,3594979862.2082243 
 01/09  15:00:00,1027187.328032542,3697874380.9171515 
 01/09  16:00:00,1041733.001596842,3750238805.748632 
 01/09  17:00:00,1084974.982042592,3905909935.3533306 
 01/09  18:00:00,828142.1704562356,2981311813.6424475 
 01/09  19:00:00,752421.0505892844,2708715782.1214237 
 01/09  20:00:00,704135.6029367284,2534888170.5722218 
 01/09  21:00:00,651934.6362557559,2346964690.5207214 
 01/09  22:00:00,608532.3859667049,2190716589.480138 
 01/09  23:00:00,469955.9880190957,1691841556.868744 
 01/09  24:00:00,434099.6319778435,1562758675.1202369 
 01/10  01:00:00,384891.1846808375,1385608264.8510146 
 01/10  02:00:00,383783.2099332525,1381619555.759709 
 01/10  03:00:00,383405.06031851494,1380258217.1466541 
 01/10  04:00:00,382647.9026876355,1377532449.6754878 
 01/10  05:00:00,382211.7977970126,1375962472.0692456 
 01/10  06:00:00,424534.0841552077,1528322702.9587474 
 01/10  07:00:00,585178.925705868,2106644132.5411253 
 01/10  08:00:00,620799.1934674593,2234877096.482854 
 01/10  09:00:00,942678.0891731341,3393641121.023283 
 01/10  10:00:00,943440.7626167084,3396386745.4201493 
 01/10  11:00:00,936621.269950754,3371836571.8227153 
 01/10  12:00:00,982231.8300292548,3536034588.105317 
 01/10  13:00:00,932703.1080472929,3357731188.970255 
 01/10  14:00:00,1018151.600776766,3665345762.7963576 
 01/10  15:00:00,1045222.7621460106,3762801943.725639 
 01/10  16:00:00,1066070.2979769595,3837853072.717054 
 01/10  17:00:00,1112525.0511586142,4005090184.171012 
 01/10  18:00:00,832930.6512040851,2998550344.334705 
 01/10  19:00:00,752782.1484742333,2710015734.5072393 
 01/10  20:00:00,704576.8152579693,2536476534.9286885 
 01/10  21:00:00,645480.6076823972,2323730187.6566296 
 01/10  22:00:00,616955.1732437251,2221038623.67741 
 01/10  23:00:00,479268.84968376736,1725367858.8615625 
 01/10  24:00:00,433481.03711490595,1560531733.6136615 
 01/11  01:00:00,385441.9469245264,1387591008.928295 
 01/11  02:00:00,384895.64912143606,1385624336.8371696 
 01/11  03:00:00,383640.33889497723,1381105220.021918 
 01/11  04:00:00,383446.19261616847,1380406293.4182067 
 01/11  05:00:00,383381.20591709047,1380172341.301526 
 01/11  06:00:00,427463.8614531124,1538869901.231205 
 01/11  07:00:00,588045.1230757358,2116962443.0726485 
 01/11  08:00:00,620755.226141319,2234718814.1087484 
 01/11  09:00:00,961144.2594839392,3460119334.1421814 
 01/11  10:00:00,955382.2822991969,3439376216.277109 
 01/11  11:00:00,964452.3178593515,3472028344.2936645 
 01/11  12:00:00,1013102.6361450221,3647169490.12208 
 01/11  13:00:00,952942.9331257191,3430594559.252589 
 01/11  14:00:00,1045577.5031384815,3764079011.2985325 
 01/11  15:00:00,1065979.8165982182,3837527339.753586 
 01/11  16:00:00,1083794.5006104938,3901660202.197777 
 01/11  17:00:00,1137860.0091486035,4096296032.9349732 
 01/11  18:00:00,841659.7122287801,3029974964.0236077 
 01/11  19:00:00,754234.9473856627,2715245810.5883846 
 01/11  20:00:00,714222.0365904779,2571199331.72572 
 01/11  21:00:00,667719.8415725218,2403791429.661079 
 01/11  22:00:00,638281.3593051521,2297812893.4985476 
 01/11  23:00:00,483128.62436486577,1739263047.713517 
 01/11  24:00:00,438726.863936634,1579416710.1718824 
 01/12  01:00:00,391273.9067199293,1408586064.1917455 
 01/12  02:00:00,391899.0432986549,1410836555.8751576 
 01/12  03:00:00,389471.9673760288,1402099082.5537035 
 01/12  04:00:00,389665.2763580855,1402794994.8891077 
 01/12  05:00:00,388089.6353201548,1397122687.1525576 
 01/12  06:00:00,430434.9391878173,1549565781.0761423 
 01/12  07:00:00,597708.9046926616,2151752056.893582 
 01/12  08:00:00,624536.8978988806,2248332832.4359694 
 01/12  09:00:00,975642.5796605848,3512313286.778105 
 01/12  10:00:00,971865.100046948,3498714360.1690116 
 01/12  11:00:00,970073.0371511951,3492262933.744302 
 01/12  12:00:00,1025015.8971657604,3690057229.7967377 
 01/12  13:00:00,965778.7419557894,3476803471.0408416 
 01/12  14:00:00,1058814.5987192607,3811732555.3893385 
 01/12  15:00:00,1081167.1279444143,3892201660.5998917 
 01/12  16:00:00,1109667.7202630518,3994803792.946986 
 01/12  17:00:00,1165590.2859449408,4196125029.401786 
 01/12  18:00:00,856206.7263795926,3082344214.9665327 
 01/12  19:00:00,757152.2540854355,2725748114.7075667 
 01/12  20:00:00,717440.2866469735,2582785031.929104 
 01/12  21:00:00,676291.1940538395,2434648298.5938225 
 01/12  22:00:00,637022.4008877433,2293280643.1958756 
 01/12  23:00:00,493216.12798419135,1775578060.743089 
 01/12  24:00:00,447369.4643765015,1610530071.7554057 
 01/13  01:00:00,391015.8192124136,1407656949.164689 
 01/13  02:00:00,388050.520418939,1396981873.5081806 
 01/13  03:00:00,387030.97273307433,1393311501.8390675 
 01/13  04:00:00,386563.86787753407,1391629924.3591225 
 01/13  05:00:00,386532.9458049228,1391518604.8977222 
 01/13  06:00:00,436845.67806169955,1572644441.0221188 
