Time,HEATSYS1:CORE_BOTTOM VAV BOX REHEAT COIL:Design Water Volume Flow Rate [m3/s],HEATSYS1:CORE_MID VAV BOX REHEAT COIL:Design Water Volume Flow Rate [m3/s],HEATSYS1:CORE_TOP VAV BOX REHEAT COIL:Design Water Volume Flow Rate [m3/s],HEATSYS1:PERIMETER_BOT_ZN_3 VAV BOX REHEAT COIL:Design Water Volume Flow Rate [m3/s],HEATSYS1:PERIMETER_BOT_ZN_2 VAV BOX REHEAT COIL:Design Water Volume Flow Rate [m3/s],HEATSYS1:PERIMETER_BOT_ZN_1 VAV BOX REHEAT COIL:Design Water Volume Flow Rate [m3/s],HEATSYS1:PERIMETER_BOT_ZN_4 VAV BOX REHEAT COIL:Design Water Volume Flow Rate [m3/s],HEATSYS1:PERIMETER_MID_ZN_3 VAV BOX REHEAT COIL:Design Water Volume Flow Rate [m3/s],HEATSYS1:PERIMETER_MID_ZN_2 VAV BOX REHEAT COIL:Design Water Volume Flow Rate [m3/s],HEATSYS1:PERIMETER_MID_ZN_1 VAV BOX REHEAT COIL:Design Water Volume Flow Rate [m3/s],HEATSYS1:PERIMETER_MID_ZN_4 VAV BOX REHEAT COIL:Design Water Volume Flow Rate [m3/s],HEATSYS1:PERIMETER_TOP_ZN_3 VAV BOX REHEAT COIL:Design Water Volume Flow Rate [m3/s],HEATSYS1:PERIMETER_TOP_ZN_2 VAV BOX REHEAT COIL:Design Water Volume Flow Rate [m3/s],HEATSYS1:PERIMETER_TOP_ZN_1 VAV BOX REHEAT COIL:Design Water Volume Flow Rate [m3/s],HEATSYS1:PERIMETER_TOP_ZN_4 VAV BOX REHEAT COIL:Design Water Volume Flow Rate [m3/s],HEATSYS1:VAV_BOT WITH REHEAT HEATING COIL:Design Water Volume Flow Rate [m3/s],HEATSYS1:VAV_MID WITH REHEAT HEATING COIL:Design Water Volume Flow Rate [m3/s],HEATSYS1:VAV_TOP WITH REHEAT HEATING COIL:Design Water Volume Flow Rate [m3/s],HEATSYS1:CAV_BAS HEATING COIL:Design Water Volume Flow Rate [m3/s]
00:10:00,2.969355E-04,4.848859E-03,3.677147E-04,6.672025E-05,4.457370E-05,5.694681E-05,7.779052E-05,4.379749E-04,3.073103E-04,4.378894E-04,3.329943E-04,4.206329E-05,2.864059E-05,4.202925E-05,3.086122E-05,1.670799E-04,2.810728E-04,1.839108E-05,2.581040E-03
00:20:00,2.969355E-04,4.848859E-03,3.677147E-04,6.672025E-05,4.457370E-05,5.694681E-05,7.779052E-05,4.379749E-04,3.073103E-04,4.378894E-04,3.329943E-04,4.206329E-05,2.864059E-05,4.202925E-05,3.086122E-05,1.670799E-04,2.810728E-04,1.839108E-05,2.581040E-03
00:30:00,2.969355E-04,4.848859E-03,3.677147E-04,6.672025E-05,4.457370E-05,5.694681E-05,7.779052E-05,4.379749E-04,3.073103E-04,4.378894E-04,3.329943E-04,4.206329E-05,2.864059E-05,4.202925E-05,3.086122E-05,1.670799E-04,2.810728E-04,1.839108E-05,2.581040E-03
00:40:00,2.969355E-04,4.848859E-03,3.677147E-04,6.672025E-05,4.457370E-05,5.694681E-05,7.779052E-05,4.379749E-04,3.073103E-04,4.378894E-04,3.329943E-04,4.206329E-05,2.864059E-05,4.202925E-05,3.086122E-05,1.670799E-04,2.810728E-04,1.839108E-05,2.581040E-03
00:50:00,2.969355E-04,4.848859E-03,3.677147E-04,6.672025E-05,4.457370E-05,5.694681E-05,7.779052E-05,4.379749E-04,3.073103E-04,4.378894E-04,3.329943E-04,4.206329E-05,2.864059E-05,4.202925E-05,3.086122E-05,1.670799E-04,2.810728E-04,1.839108E-05,2.581040E-03
01:00:00,2.969355E-04,4.848859E-03,3.677147E-04,6.672025E-05,4.457370E-05,5.694681E-05,7.779052E-05,4.379749E-04,3.073103E-04,4.378894E-04,3.329943E-04,4.206329E-05,2.864059E-05,4.202925E-05,3.086122E-05,1.670799E-04,2.810728E-04,1.839108E-05,2.581040E-03
01:10:00,2.969355E-04,4.848859E-03,3.677147E-04,6.672025E-05,4.457370E-05,5.694681E-05,7.779052E-05,4.379749E-04,3.073103E-04,4.378894E-04,3.329943E-04,4.206329E-05,2.864059E-05,4.202925E-05,3.086122E-05,1.670799E-04,2.810728E-04,1.839108E-05,2.581040E-03
01:20:00,2.969355E-04,4.848859E-03,3.677147E-04,6.672025E-05,4.457370E-05,5.694681E-05,7.779052E-05,4.379749E-04,3.073103E-04,4.378894E-04,3.329943E-04,4.206329E-05,2.864059E-05,4.202925E-05,3.086122E-05,1.670799E-04,2.810728E-04,1.839108E-05,2.581040E-03
01:30:00,2.969355E-04,4.848859E-03,3.677147E-04,6.672025E-05,4.457370E-05,5.694681E-05,7.779052E-05,4.379749E-04,3.073103E-04,4.378894E-04,3.329943E-04,4.206329E-05,2.864059E-05,4.202925E-05,3.086122E-05,1.670799E-04,2.810728E-04,1.839108E-05,2.581040E-03
01:40:00,2.969355E-04,4.848859E-03,3.677147E-04,6.672025E-05,4.457370E-05,5.694681E-05,7.779052E-05,4.379749E-04,3.073103E-04,4.378894E-04,3.329943E-04,4.206329E-05,2.864059E-05,4.202925E-05,3.086122E-05,1.670799E-04,2.810728E-04,1.839108E-05,2.581040E-03
