Date/Time,Electricity:Facility [J](Hourly),InteriorLights:Electricity [J](Hourly),InteriorEquipment:Electricity [J](Hourly) 
 01/01  01:00:00,1316569071.3937476,36545657.73145594,746122165.6661776 
 01/01  02:00:00,1313684461.978055,36545657.73145594,746122165.6661776 
 01/01  03:00:00,1319548022.0537589,36545657.73145594,746122165.6661776 
 01/01  04:00:00,1325391766.582964,36545657.73145594,746122165.6661776 
 01/01  05:00:00,1315639068.504373,36545657.73145594,746122165.6661776 
 01/01  06:00:00,1374141455.3241062,36545657.73145594,746122165.6661776 
 01/01  07:00:00,1723599513.2812116,47289767.18430585,824394452.0555365 
 01/01  08:00:00,1698010846.5338166,46566726.65646302,824394452.0555365 
 01/01  09:00:00,1656482764.3355246,43072650.04700511,824394452.0555365 
 01/01  10:00:00,1543436641.0781658,42562756.778707296,824394452.0555365 
 01/01  11:00:00,1491922414.914708,42559924.65578557,824394452.0555365 
 01/01  12:00:00,1680006359.7560241,42559924.65578557,824394452.0555365 
 01/01  13:00:00,1805791365.2206635,42559924.65578557,824394452.0555365 
 01/01  14:00:00,1814611744.1238005,42559924.65578557,824394452.0555365 
 01/01  15:00:00,1858094063.8359323,42559924.65578557,824394452.0555365 
 01/01  16:00:00,1810851206.8666222,42649336.63940403,824394452.0555365 
 01/01  17:00:00,2011555407.862358,43708954.8400367,824394452.0555365 
 01/01  18:00:00,1957184973.6658769,48362016.69552845,824394452.0555365 
 01/01  19:00:00,1887249664.0109735,38694479.62202592,746122165.6661776 
 01/01  20:00:00,1734967105.0261745,36545657.73145594,746122165.6661776 
 01/01  21:00:00,1700882962.804122,36545657.73145594,746122165.6661776 
 01/01  22:00:00,1574870684.2475634,36545657.73145594,746122165.6661776 
 01/01  23:00:00,1461798407.7074666,36545657.73145594,746122165.6661776 
 01/01  24:00:00,1374481447.3792949,36545657.73145594,746122165.6661776 
 01/02  01:00:00,1409145445.3844414,36545657.73145594,836730825.2177298 
 01/02  02:00:00,1406820292.7907155,36545657.73145594,836730825.2177298 
 01/02  03:00:00,1417878481.7807558,36545657.73145594,836730825.2177298 
 01/02  04:00:00,1433829213.2425697,36545657.73145594,836730825.2177298 
 01/02  05:00:00,1406010306.8008447,36545657.73145594,836730825.2177298 
 01/02  06:00:00,1566307167.3656018,38137022.65685523,836730825.2177298 
 01/02  07:00:00,2119231444.886754,88762776.67582561,941093873.7368754 
 01/02  08:00:00,2261494304.949186,279646257.7145797,941093873.7368754 
 01/02  09:00:00,3390356688.822756,776464567.441367,1524590982.1435692 
 01/02  10:00:00,3347963559.3634467,766187918.2276132,1524590982.1435692 
 01/02  11:00:00,3360082552.4239397,766134049.2768176,1524590982.1435692 
 01/02  12:00:00,3502290764.4983473,766134049.2768176,1524590982.1435692 
 01/02  13:00:00,3346866295.7665153,766134049.2768176,1407891560.4622302 
 01/02  14:00:00,3611957195.747444,766134049.2768176,1524590982.1435692 
