Date/Time,Electricity:Facility [J](Hourly),InteriorLights:Electricity [J](Hourly),InteriorEquipment:Electricity [J](Hourly) 
 01/01  01:00:00,1319668360.6824937,36545657.73145594,746122165.6661776 
 01/01  02:00:00,1316920612.5712373,36545657.73145594,746122165.6661776 
 01/01  03:00:00,1323187384.679488,36545657.73145594,746122165.6661776 
 01/01  04:00:00,1329249057.0744348,36545657.73145594,746122165.6661776 
 01/01  05:00:00,1319150346.2174585,36545657.73145594,746122165.6661776 
 01/01  06:00:00,1377276755.3256233,36545657.73145594,746122165.6661776 
 01/01  07:00:00,1730012328.1138988,47289767.18430585,824394452.0555365 
 01/01  08:00:00,1701554496.094561,46566726.65646302,824394452.0555365 
 01/01  09:00:00,1656185472.1299875,43072650.04700511,824394452.0555365 
 01/01  10:00:00,1561923164.7892878,42562756.778707296,824394452.0555365 
 01/01  11:00:00,1494144479.9925332,42559924.65578557,824394452.0555365 
 01/01  12:00:00,1713699646.9425206,42559924.65578557,824394452.0555365 
 01/01  13:00:00,1797949758.3090105,42559924.65578557,824394452.0555365 
 01/01  14:00:00,1832402151.999107,42559924.65578557,824394452.0555365 
 01/01  15:00:00,1860418554.4194534,42559924.65578557,824394452.0555365 
 01/01  16:00:00,1827758874.7482605,42649336.63940403,824394452.0555365 
 01/01  17:00:00,2010238532.3105865,43708954.8400367,824394452.0555365 
 01/01  18:00:00,2103107888.614574,48362016.69552845,824394452.0555365 
 01/01  19:00:00,1873202632.5035298,38694479.62202592,746122165.6661776 
 01/01  20:00:00,1754346230.0829635,36545657.73145594,746122165.6661776 
 01/01  21:00:00,1688841858.07669,36545657.73145594,746122165.6661776 
 01/01  22:00:00,1594641850.6195934,36545657.73145594,746122165.6661776 
 01/01  23:00:00,1450216170.736928,36545657.73145594,746122165.6661776 
 01/01  24:00:00,1386098718.178535,36545657.73145594,746122165.6661776 
 01/02  01:00:00,1415505925.9675708,36545657.73145594,836730825.2177298 
 01/02  02:00:00,1413153003.239093,36545657.73145594,836730825.2177298 
 01/02  03:00:00,1429600612.3596907,36545657.73145594,836730825.2177298 
 01/02  04:00:00,1422335990.8055959,36545657.73145594,836730825.2177298 
 01/02  05:00:00,1412357959.3944364,36545657.73145594,836730825.2177298 
 01/02  06:00:00,1600657640.594079,38137022.65685523,836730825.2177298 
 01/02  07:00:00,2129408410.0953937,88762776.67582561,941093873.7368754 
 01/02  08:00:00,2275049258.2486033,279646257.7145797,941093873.7368754 
 01/02  09:00:00,3433508757.877658,776464567.441367,1524590982.1435692 
 01/02  10:00:00,3396349769.870046,766187918.2276132,1524590982.1435692 
 01/02  11:00:00,3404759392.503217,766134049.2768176,1524590982.1435692 
 01/02  12:00:00,3555205762.7220488,766134049.2768176,1524590982.1435692 
 01/02  13:00:00,3375378134.756473,766134049.2768176,1407891560.4622302 
 01/02  14:00:00,3681026618.692333,766134049.2768176,1524590982.1435692 
 01/02  15:00:00,3766588060.925777,766134049.2768176,1524590982.1435692 
 01/02  16:00:00,3837837146.4782977,767677269.4241564,1524590982.1435692 
 01/02  17:00:00,4094896131.1362276,785581345.6160247,1524590982.1435692 
 01/02  18:00:00,3017917150.688363,483278424.40618616,1057793295.4182142 
 01/02  19:00:00,2716815878.045149,296653033.108991,941093873.7368754 
 01/02  20:00:00,2573823762.1717515,296653033.108991,941093873.7368754 
 01/02  21:00:00,2418891196.5996804,197765105.62937143,941093873.7368754 
 01/02  22:00:00,2271879277.3864307,197765105.62937143,941093873.7368754 
 01/02  23:00:00,1723484918.140762,98887927.4796197,941093873.7368754 
 01/02  24:00:00,1582775987.2846553,49438589.07487582,941093873.7368754 
