Date/Time,Whole Building:Facility Total Electricity Demand Rate [W](Hourly),Electricity:Facility [J](Hourly) 
 01/01  01:00:00,366574.54463402607,1319668360.6824937 
 01/01  02:00:00,365811.2812697883,1316920612.5712373 
 01/01  03:00:00,367552.05129985773,1323187384.679488 
 01/01  04:00:00,369235.849187343,1329249057.0744348 
 01/01  05:00:00,366430.6517270719,1319150346.2174585 
 01/01  06:00:00,382576.87647933984,1377276755.3256233 
 01/01  07:00:00,480558.9800316386,1730012328.1138988 
 01/01  08:00:00,472654.0266929336,1701554496.094561 
 01/01  09:00:00,460051.52003610757,1656185472.1299875 
 01/01  10:00:00,433867.5457748023,1561923164.7892878 
 01/01  11:00:00,415040.1333312593,1494144479.9925332 
 01/01  12:00:00,476027.6797062559,1713699646.9425206 
 01/01  13:00:00,499430.4884191696,1797949758.3090105 
 01/01  14:00:00,509000.5977775296,1832402151.999107 
 01/01  15:00:00,516782.93178318156,1860418554.4194534 
 01/01  16:00:00,507710.7985411834,1827758874.7482605 
 01/01  17:00:00,558399.5923084962,2010238532.3105865 
 01/01  18:00:00,584196.6357262706,2103107888.614574 
 01/01  19:00:00,520334.0645843137,1873202632.5035298 
 01/01  20:00:00,487318.3972452676,1754346230.0829635 
 01/01  21:00:00,469122.73835463607,1688841858.07669 
 01/01  22:00:00,442956.0696165538,1594641850.6195934 
 01/01  23:00:00,402837.82520470227,1450216170.736928 
 01/01  24:00:00,385027.42171625973,1386098718.178535 
 01/02  01:00:00,393196.0905465476,1415505925.9675708 
 01/02  02:00:00,392542.5008997482,1413153003.239093 
 01/02  03:00:00,397111.28121102526,1429600612.3596907 
 01/02  04:00:00,395093.3307793322,1422335990.8055959 
 01/02  05:00:00,392321.65538734343,1412357959.3944364 
 01/02  06:00:00,444627.12238724437,1600657640.594079 
 01/02  07:00:00,591502.3361376092,2129408410.0953937 
 01/02  08:00:00,631958.1272912787,2275049258.2486033 
 01/02  09:00:00,953752.4327437942,3433508757.877658 
 01/02  10:00:00,943430.4916305683,3396349769.870046 
 01/02  11:00:00,945766.4979175603,3404759392.503217 
 01/02  12:00:00,987557.1563116802,3555205762.7220488 
 01/02  13:00:00,937605.0374323536,3375378134.756473 
 01/02  14:00:00,1022507.3940812036,3681026618.692333 
 01/02  15:00:00,1046274.4613682715,3766588060.925777 
 01/02  16:00:00,1066065.8740217492,3837837146.4782977 
 01/02  17:00:00,1137471.1475378412,4094896131.1362276 
 01/02  18:00:00,838310.3196356563,3017917150.688363 
 01/02  19:00:00,754671.0772347633,2716815878.045149 
 01/02  20:00:00,714951.0450477084,2573823762.1717515 
